smiles,formula
CC#CC(C)O,C5H8O
CC#CC(C)=C,C6H8
CC#CC(C)=O,C5H6O
CC#CC(O)=O,C4H4O2
CCC=C(C)C,C6H12
CC(C)=CCO,C5H10O
COC=C(C)C,C5H10O
CC(C)=CC=C,C6H10
CC(C)=CC=O,C5H8O
CC(C)=CC#C,C6H8
CC(C)C(C)C,C6H14
CC(C)C(C)O,C5H12O
CC(O)C(C)O,C4H10O2
CC(C)C(C)=C,C6H12
CC(C)C(C)=O,C5H10O
CC(C)C(O)=O,C4H8O2
CC(O)C(C)=C,C5H10O
CC(O)C(C)=O,C4H8O2
CC(O)C(O)=O,C3H6O3
CC(=C)C(C)=C,C6H10
CC(=C)C(C)=O,C5H8O
CC(=C)C(O)=O,C4H6O2
CC(=O)C(C)=O,C4H6O2
CC(=O)C(O)=O,C3H4O3
OC(=O)C(O)=O,C2H2O4
CC(C)=C(C)C,C6H12
CC1(C)CCC1,C6H12
CC1(O)CCC1,C5H10O
CC1(C)COC1,C5H10O
CC1(O)COC1,C4H8O2
CC1(C)CCO1,C5H10O
CC1CC1(C)C,C6H12
CC1(C)CC1O,C5H10O
CC1CC1(C)O,C5H10O
CC1(O)CC1O,C4H8O2
CC1OC1(C)C,C5H10O
CC1CC(C)C1,C6H12
CC1CC(O)C1,C5H10O
OC1CC(O)C1,C4H8O2
CC1CC(C)O1,C5H10O
CC1CC(=O)C1,C5H8O
OC1CC(=O)C1,C4H6O2
CC1CC(=O)O1,C4H6O2
CCC(C)CC,C6H14
CCC(C)CO,C5H12O
CC(CO)CO,C4H10O2
CCC(O)CC,C5H12O
CCC(O)CO,C4H10O2
OCC(O)CO,C3H8O3
CCC(C)OC,C5H12O
COC(C)CO,C4H10O2
COC(C)OC,C4H10O2
CCC(C)C=C,C6H12
CCC(C)C=O,C5H10O
CC(CO)C=C,C5H10O
CC(CO)C=O,C4H8O2
CCC(O)C=C,C5H10O
CCC(O)C=O,C4H8O2
OCC(O)C=C,C4H8O2
OCC(O)C=O,C3H6O3
COC(C)C=C,C5H10O
COC(C)C=O,C4H8O2
CCC(C)C#C,C6H10
CC(CO)C#C,C5H8O
CCC(O)C#C,C5H8O
OCC(O)C#C,C4H6O2
COC(C)C#C,C5H8O
CC(C=C)C=C,C6H10
CC(C=C)C=O,C5H8O
CC(C=O)C=O,C4H6O2
OC(C=C)C=C,C5H8O
OC(C=C)C=O,C4H6O2
OC(C=O)C=O,C3H4O3
CC(C=C)C#C,C6H8
CC(C=O)C#C,C5H6O
OC(C=C)C#C,C5H6O
OC(C=O)C#C,C4H4O2
CC(C#C)C#C,C6H6
OC(C#C)C#C,C5H4O
CCC(=C)CC,C6H12
CCC(=C)CO,C5H10O
OCC(=C)CO,C4H8O2
CCC(=O)CC,C5H10O
CCC(=O)CO,C4H8O2
OCC(=O)CO,C3H6O3
CCC(=C)OC,C5H10O
COC(=C)CO,C4H8O2
CCC(=O)OC,C4H8O2
COC(=O)CO,C3H6O3
COC(=O)OC,C3H6O3
CCC(=C)C=C,C6H10
CCC(=C)C=O,C5H8O
OCC(=C)C=C,C5H8O
OCC(=C)C=O,C4H6O2
CCC(=O)C=C,C5H8O
CCC(=O)C=O,C4H6O2
OCC(=O)C=C,C4H6O2
OCC(=O)C=O,C3H4O3
COC(=C)C=C,C5H8O
COC(=C)C=O,C4H6O2
COC(=O)C=C,C4H6O2
COC(=O)C=O,C3H4O3
CCC(=C)C#C,C6H8
OCC(=C)C#C,C5H6O
CCC(=O)C#C,C5H6O
OCC(=O)C#C,C4H4O2
COC(=C)C#C,C5H6O
COC(=O)C#C,C4H4O2
C=CC(=C)C=C,C6H8
C=CC(=C)C=O,C5H6O
C=C(C=O)C=O,C4H4O2
C=CC(=O)C=C,C5H6O
C=CC(=O)C=O,C4H4O2
O=CC(=O)C=O,C3H2O3
C=CC(=C)C#C,C6H6
C=C(C=O)C#C,C5H4O
C=CC(=O)C#C,C5H4O
O=CC(=O)C#C,C4H2O2
C=C(C#C)C#C,C6H4
O=C(C#C)C#C,C5H2O
CCC(C)=CC,C6H12
CC=C(C)CO,C5H10O
COC(C)=CC,C5H10O
CC=C(C)C=C,C6H10
CC=C(C)C=O,C5H8O
CC=C(C)C#C,C6H8
CCC1(C)CC1,C6H12
CC1(CO)CC1,C5H10O
CCC1(O)CC1,C5H10O
OCC1(O)CC1,C4H8O2
COC1(C)CC1,C5H10O
CCC1(C)CO1,C5H10O
CC1(CO)CO1,C4H8O2
CC1CCC1C,C6H12
CC1CCC1O,C5H10O
OC1CCC1O,C4H8O2
CC1COC1C,C5H10O
CC1OCC1O,C4H8O2
CC1CCC1=O,C5H8O
OC1CCC1=O,C4H6O2
CC1COC1=O,C4H6O2
OC1COC1=O,C3H4O3
CC1OCC1=O,C4H6O2
CC1CCCC1,C6H12
OC1CCCC1,C5H10O
CC1CCOC1,C5H10O
OC1CCOC1,C4H8O2
CC1CCCO1,C5H10O
CC1COCO1,C4H8O2
CC1OCCO1,C4H8O2
C=C1CCCC1,C6H10
O=C1CCCC1,C5H8O
C=C1CCOC1,C5H8O
O=C1CCOC1,C4H6O2
C=C1CCCO1,C5H8O
O=C1CCCO1,C4H6O2
C=C1COCO1,C4H6O2
O=C1COCO1,C3H4O3
O=C1OCCO1,C3H4O3
CC1CC=CC1,C6H10
OC1CC=CC1,C5H8O
CC1CC=CO1,C5H8O
CC1OC=CO1,C4H6O2
C=C1CC=CC1,C6H8
O=C1CC=CC1,C5H6O
C=C1CC=CO1,C5H6O
O=C1CC=CO1,C4H4O2
CC1CCC=C1,C6H10
OC1CCC=C1,C5H8O
CC1COC=C1,C5H8O
OC1COC=C1,C4H6O2
CC1OCC=C1,C5H8O
C=C1CCC=C1,C6H8
O=C1CCC=C1,C5H6O
C=C1COC=C1,C5H6O
C=C1OCC=C1,C5H6O
O=C1OCC=C1,C4H4O2
CC1C=CC=C1,C6H8
OC1C=CC=C1,C5H6O
C=C1C=CC=C1,C6H6
O=C1C=CC=C1,C5H4O
CC1=CCCC1,C6H10
CC1=COCC1,C5H8O
CC1=CCOC1,C5H8O
CC1=CCCO1,C5H8O
CC1=COCO1,C4H6O2
CC1=CC=CC1,C6H8
CC1=CCC=C1,C6H8
CC1C(C)C1C,C6H12
CC1C(C)C1O,C5H10O
CC1C(O)C1O,C4H8O2
OC1C(O)C1O,C3H6O3
CCCCCC,C6H14
CCCCCO,C5H12O
OCCCCO,C4H10O2
CCCCOC,C5H12O
COCCCO,C4H10O2
COCCOC,C4H10O2
CCCOCC,C5H12O
CCOCCO,C4H10O2
CCOCOC,C4H10O2
CCCCC=C,C6H12
CCCCC=O,C5H10O
OCCCC=C,C5H10O
OCCCC=O,C4H8O2
COCCC=C,C5H10O
COCCC=O,C4H8O2
CCCOC=C,C5H10O
CCCOC=O,C4H8O2
OCCOC=C,C4H8O2
OCCOC=O,C3H6O3
COCOC=C,C4H8O2
COCOC=O,C3H6O3
CCOCC=C,C5H10O
CCOCC=O,C4H8O2
CCCCC#C,C6H10
OCCCC#C,C5H8O
COCCC#C,C5H8O
CCOCC#C,C5H8O
C=CCCC=C,C6H10
C=CCCC=O,C5H8O
O=CCCC=O,C4H6O2
C=CCOC=C,C5H8O
C=CCOC=O,C4H6O2
C=COCC=O,C4H6O2
O=CCOC=O,C3H4O3
C=CCCC#C,C6H8
O=CCCC#C,C5H6O
C=COCC#C,C5H6O
O=COCC#C,C4H4O2
C#CCCC#C,C6H6
CCCC=CC,C6H12
CC=CCCO,C5H10O
COCC=CC,C5H10O
CCOC=CC,C5H10O
CC=CCC=C,C6H10
CC=CCC=O,C5H8O
CC=COC=C,C5H8O
CC=COC=O,C4H6O2
CC=CCC#C,C6H8
CCCC#CC,C6H10
CC#CCCO,C5H8O
COCC#CC,C5H8O
CC#CCC=C,C6H8
CC#CCC=O,C5H6O
CC#CCC#C,C6H6
CC=CC=CC,C6H10
CC=CC#CC,C6H8
CC#CC#CC,C6H6
CCC=CCC,C6H12
CCC=CCO,C5H10O
OCC=CCO,C4H8O2
CCC=COC,C5H10O
COC=CCO,C4H8O2
COC=COC,C4H8O2
CCC=CC=C,C6H10
CCC=CC=O,C5H8O
OCC=CC=C,C5H8O
OCC=CC=O,C4H6O2
COC=CC=C,C5H8O
COC=CC=O,C4H6O2
CCC=CC#C,C6H8
OCC=CC#C,C5H6O
COC=CC#C,C5H6O
C=CC=CC=C,C6H8
C=CC=CC=O,C5H6O
O=CC=CC=O,C4H4O2
C=CC=CC#C,C6H6
O=CC=CC#C,C5H4O
C#CC=CC#C,C6H4
CCC#CCC,C6H10
CCC#CCO,C5H8O
OCC#CCO,C4H6O2
CCC#CC=C,C6H8
CCC#CC=O,C5H6O
OCC#CC=C,C5H6O
OCC#CC=O,C4H4O2
CCC#CC#C,C6H6
OCC#CC#C,C5H4O
C=CC#CC=C,C6H6
C=CC#CC=O,C5H4O
O=CC#CC=O,C4H2O2
C=CC#CC#C,C6H4
O=CC#CC#C,C5H2O
C#CC#CC#C,C6H2
CCC1CCC1,C6H12
OCC1CCC1,C5H10O
COC1CCC1,C5H10O
CCC1COC1,C5H10O
OCC1COC1,C4H8O2
COC1COC1,C4H8O2
CCC1CCO1,C5H10O
OCC1CCO1,C4H8O2
C=CC1CCC1,C6H10
O=CC1CCC1,C5H8O
C=CC1COC1,C5H8O
O=CC1COC1,C4H6O2
C=CC1CCO1,C5H8O
O=CC1CCO1,C4H6O2
C#CC1CCC1,C6H8
C#CC1COC1,C5H6O
C#CC1CCO1,C5H6O
CCCC1CC1,C6H12
OCCC1CC1,C5H10O
COCC1CC1,C5H10O
CCOC1CC1,C5H10O
CCCC1CO1,C5H10O
OCCC1CO1,C4H8O2
COCC1CO1,C4H8O2
C=CCC1CC1,C6H10
O=CCC1CC1,C5H8O
C=COC1CC1,C5H8O
O=COC1CC1,C4H6O2
C=CCC1CO1,C5H8O
O=CCC1CO1,C4H6O2
C#CCC1CC1,C6H8
C#CCC1CO1,C5H6O
CC=CC1CC1,C6H10
CC=CC1CO1,C5H8O
CC#CC1CC1,C6H8
CC#CC1CO1,C5H6O
CCC1CC1C,C6H12
CC1CC1CO,C5H10O
CCC1CC1O,C5H10O
OCC1CC1O,C4H8O2
COC1CC1C,C5H10O
COC1CC1O,C4H8O2
CCC1OC1C,C5H10O
CC1OC1CO,C4H8O2
CC1CC1C=C,C6H10
CC1CC1C=O,C5H8O
OC1CC1C=C,C5H8O
OC1CC1C=O,C4H6O2
CC1OC1C=C,C5H8O
CC1OC1C=O,C4H6O2
CC1CC1C#C,C6H8
OC1CC1C#C,C5H6O
CC1OC1C#C,C5H6O
CC(C)C1CC1,C6H12
CC(O)C1CC1,C5H10O
CC(C)C1CO1,C5H10O
CC(O)C1CO1,C4H8O2
CC(=C)C1CC1,C6H10
CC(=O)C1CC1,C5H8O
OC(=O)C1CC1,C4H6O2
CC(=C)C1CO1,C5H8O
CC(=O)C1CO1,C4H6O2
OC(=O)C1CO1,C3H4O3
C1CC2CC1C2,C6H10
C1OC2CC1C2,C5H8O
C1CC2CC1O2,C5H8O
C1C2CC1C=C2,C6H8
C1C2OC1C=C2,C5H6O
C1CCCCC1,C6H12
C1CCOCC1,C5H10O
C1COCOC1,C4H8O2
C1COCCO1,C4H8O2
C1OCOCO1,C3H6O3
C1CCC=CC1,C6H10
C1COC=CC1,C5H8O
C1COC=CO1,C4H6O2
C1CC=CCO1,C5H8O
C1OCC=CO1,C4H6O2
C1CC=CC=C1,C6H8
C1OC=CC=C1,C5H6O
C1C=CCC=C1,C6H8
C1C=COC=C1,C5H6O
O1C=COC=C1,C4H4O2
C1CC2CC2C1,C6H10
C1OCC2CC12,C5H8O
C1CC2CC2O1,C5H8O
C1OC2CC2O1,C4H6O2
C1CC2OC2C1,C5H8O
C1OCC2OC12,C4H6O2
C1C=CC2CC12,C6H8
C1C2OC=CC12,C5H6O
C1C=CC2OC12,C5H6O
C1CC1C2CC2,C6H10
C1CC1C2CO2,C5H8O
C1OC1C2CO2,C4H6O2
CCCC(C)(C)C,C7H16
CC(C)(C)CCO,C6H14O
CCCC(C)(C)O,C6H14O
CC(C)(O)CCO,C5H12O2
COCC(C)(C)C,C6H14O
COCC(C)(C)O,C5H12O2
CCOC(C)(C)C,C6H14O
CC(C)(C)CC=C,C7H14
CC(C)(C)CC=O,C6H12O
CC(C)(O)CC=C,C6H12O
CC(C)(O)CC=O,C5H10O2
CC(C)(C)OC=C,C6H12O
CC(C)(C)OC=O,C5H10O2
CC(C)(C)CC#C,C7H12
CC(C)(O)CC#C,C6H10O
CC=CC(C)(C)C,C7H14
CC=CC(C)(C)O,C6H12O
CC#CC(C)(C)C,C7H12
CC#CC(C)(C)O,C6H10O
CC(C)C(C)(C)C,C7H16
CC(O)C(C)(C)C,C6H14O
CC(C)C(C)(C)O,C6H14O
CC(O)C(C)(C)O,C5H12O2
CC(=C)C(C)(C)C,C7H14
CC(=O)C(C)(C)C,C6H12O
CC(C)(C)C(O)=O,C5H10O2
CC(=C)C(C)(C)O,C6H12O
CC(=O)C(C)(C)O,C5H10O2
CC(C)(O)C(O)=O,C4H8O3
CC(C)CC(C)C,C7H16
CC(C)CC(C)O,C6H14O
CC(O)CC(C)O,C5H12O2
CC(C)OC(C)C,C6H14O
CC(C)CC(C)=C,C7H14
CC(C)CC(C)=O,C6H12O
CC(C)CC(O)=O,C5H10O2
CC(O)CC(C)=C,C6H12O
CC(O)CC(C)=O,C5H10O2
CC(O)CC(O)=O,C4H8O3
CC(C)OC(C)=C,C6H12O
CC(C)OC(C)=O,C5H10O2
CC(=C)CC(C)=C,C7H12
CC(=C)CC(C)=O,C6H10O
CC(=C)CC(O)=O,C5H8O2
CC(=O)CC(C)=O,C5H8O2
OC(=O)CC(O)=O,C3H4O4
CC(=C)OC(C)=C,C6H10O
CC(=C)OC(C)=O,C5H8O2
CC(C)C=C(C)C,C7H14
CC(O)C=C(C)C,C6H12O
CC(C)=CC(C)=C,C7H12
CC(C)=CC(C)=O,C6H10O
CC(C)=CC(O)=O,C5H8O2
CC1CC(C)(C)C1,C7H14
CC1(C)CC(O)C1,C6H12O
CC1CC(C)(O)C1,C6H12O
CC1(O)CC(O)C1,C5H10O2
CC1CC(C)(C)O1,C6H12O
CC1(C)CC(=O)C1,C6H10O
CC1(O)CC(=O)C1,C5H8O2
CC1(C)CC(=O)O1,C5H8O2
CC1(C)CC1(C)C,C7H14
CC1(C)CC1(C)O,C6H12O
CC1(O)CC1(C)O,C5H10O2
CC1(C)OC1(C)C,C6H12O
CCC(C)(C)CC,C7H16
CCC(C)(C)CO,C6H14O
CC(C)(CO)CO,C5H12O2
CCC(C)(O)CC,C6H14O
CCC(C)(O)CO,C5H12O2
CC(O)(CO)CO,C4H10O3
CCC(C)(C)OC,C6H14O
COC(C)(C)CO,C5H12O2
COC(C)(C)OC,C5H12O2
CCC(C)(C)C=C,C7H14
CCC(C)(C)C=O,C6H12O
CC(C)(CO)C=C,C6H12O
CC(C)(CO)C=O,C5H10O2
CCC(C)(O)C=C,C6H12O
CCC(C)(O)C=O,C5H10O2
CC(O)(CO)C=C,C5H10O2
CC(O)(CO)C=O,C4H8O3
COC(C)(C)C=C,C6H12O
COC(C)(C)C=O,C5H10O2
CCC(C)(C)C#C,C7H12
CC(C)(CO)C#C,C6H10O
CCC(C)(O)C#C,C6H10O
CC(O)(CO)C#C,C5H8O2
COC(C)(C)C#C,C6H10O
CC(C)(C=C)C=C,C7H12
CC(C)(C=C)C=O,C6H10O
CC(C)(C=O)C=O,C5H8O2
CC(O)(C=C)C=C,C6H10O
CC(O)(C=C)C=O,C5H8O2
CC(O)(C=O)C=O,C4H6O3
CC(C)(C=C)C#C,C7H10
CC(C)(C=O)C#C,C6H8O
CC(O)(C=C)C#C,C6H8O
CC(O)(C=O)C#C,C5H6O2
CC(C)(C#C)C#C,C7H8
CC(O)(C#C)C#C,C6H6O
CCCCC(C)C,C7H16
CC(C)CCCO,C6H14O
CCCCC(C)O,C6H14O
CC(O)CCCO,C5H12O2
COCCC(C)C,C6H14O
COCCC(C)O,C5H12O2
CCOCC(C)C,C6H14O
CCOCC(C)O,C5H12O2
CCCOC(C)C,C6H14O
CC(C)OCCO,C5H12O2
COCOC(C)C,C5H12O2
CC(C)CCC=C,C7H14
CC(C)CCC=O,C6H12O
CC(O)CCC=C,C6H12O
CC(O)CCC=O,C5H10O2
CC(C)COC=C,C6H12O
CC(C)COC=O,C5H10O2
CC(O)COC=C,C5H10O2
CC(O)COC=O,C4H8O3
CC(C)OCC=C,C6H12O
CC(C)OCC=O,C5H10O2
CC(C)CCC#C,C7H12
CC(O)CCC#C,C6H10O
CC(C)OCC#C,C6H10O
CCCCC(C)=C,C7H14
CC(=C)CCCO,C6H12O
CCCCC(C)=O,C6H12O
CC(=O)CCCO,C5H10O2
CCCCC(O)=O,C5H10O2
OCCCC(O)=O,C4H8O3
COCCC(C)=C,C6H12O
COCCC(C)=O,C5H10O2
COCCC(O)=O,C4H8O3
CCOCC(C)=C,C6H12O
CCOCC(C)=O,C5H10O2
CCOCC(O)=O,C4H8O3
CCCOC(C)=C,C6H12O
CC(=C)OCCO,C5H10O2
CCCOC(C)=O,C5H10O2
CC(=O)OCCO,C4H8O3
COCOC(C)=C,C5H10O2
COCOC(C)=O,C4H8O3
CC(=C)CCC=C,C7H12
CC(=C)CCC=O,C6H10O
CC(=O)CCC=C,C6H10O
CC(=O)CCC=O,C5H8O2
OC(=O)CCC=C,C5H8O2
OC(=O)CCC=O,C4H6O3
CC(=C)COC=C,C6H10O
CC(=C)COC=O,C5H8O2
CC(=O)COC=C,C5H8O2
CC(=O)COC=O,C4H6O3
OC(=O)COC=C,C4H6O3
OC(=O)COC=O,C3H4O4
CC(=C)OCC=C,C6H10O
CC(=C)OCC=O,C5H8O2
CC(=O)OCC=C,C5H8O2
CC(=O)OCC=O,C4H6O3
CC(=C)CCC#C,C7H10
CC(=O)CCC#C,C6H8O
OC(=O)CCC#C,C5H6O2
CC(=C)OCC#C,C6H8O
CC(=O)OCC#C,C5H6O2
CC=CCC(C)C,C7H14
CC=CCC(C)O,C6H12O
CC=COC(C)C,C6H12O
CC=CCC(C)=C,C7H12
CC=CCC(C)=O,C6H10O
CC=CCC(O)=O,C5H8O2
CC=COC(C)=C,C6H10O
CC=COC(C)=O,C5H8O2
CC#CCC(C)C,C7H12
CC#CCC(C)O,C6H10O
CC#CCC(C)=C,C7H10
CC#CCC(C)=O,C6H8O
CC#CCC(O)=O,C5H6O2
CCC=CC(C)C,C7H14
CC(C)C=CCO,C6H12O
CCC=CC(C)O,C6H12O
CC(O)C=CCO,C5H10O2
COC=CC(C)C,C6H12O
COC=CC(C)O,C5H10O2
CC(C)C=CC=C,C7H12
CC(C)C=CC=O,C6H10O
CC(O)C=CC=C,C6H10O
CC(O)C=CC=O,C5H8O2
CC(C)C=CC#C,C7H10
CC(O)C=CC#C,C6H8O
CCC=CC(C)=C,C7H12
CC(=C)C=CCO,C6H10O
CCC=CC(C)=O,C6H10O
CC(=O)C=CCO,C5H8O2
CCC=CC(O)=O,C5H8O2
OCC=CC(O)=O,C4H6O3
COC=CC(C)=C,C6H10O
COC=CC(C)=O,C5H8O2
COC=CC(O)=O,C4H6O3
CC(=C)C=CC=C,C7H10
CC(=C)C=CC=O,C6H8O
CC(=O)C=CC=C,C6H8O
CC(=O)C=CC=O,C5H6O2
OC(=O)C=CC=C,C5H6O2
OC(=O)C=CC=O,C4H4O3
CC(=C)C=CC#C,C7H8
CC(=O)C=CC#C,C6H6O
OC(=O)C=CC#C,C5H4O2
CCC#CC(C)C,C7H12
CC(C)C#CCO,C6H10O
CCC#CC(C)O,C6H10O
CC(O)C#CCO,C5H8O2
CC(C)C#CC=C,C7H10
CC(C)C#CC=O,C6H8O
CC(O)C#CC=C,C6H8O
CC(O)C#CC=O,C5H6O2
CC(C)C#CC#C,C7H8
CC(O)C#CC#C,C6H6O
CCC#CC(C)=C,C7H10
CC(=C)C#CCO,C6H8O
CCC#CC(C)=O,C6H8O
CC(=O)C#CCO,C5H6O2
CCC#CC(O)=O,C5H6O2
OCC#CC(O)=O,C4H4O3
CC(=C)C#CC=C,C7H8
CC(=C)C#CC=O,C6H6O
CC(=O)C#CC=C,C6H6O
CC(=O)C#CC=O,C5H4O2
OC(=O)C#CC=C,C5H4O2
OC(=O)C#CC=O,C4H2O3
CC(=C)C#CC#C,C7H6
CC(=O)C#CC#C,C6H4O
OC(=O)C#CC#C,C5H2O2
CCCC=C(C)C,C7H14
CC(C)=CCCO,C6H12O
COCC=C(C)C,C6H12O
CCOC=C(C)C,C6H12O
CC(C)=CCC=C,C7H12
CC(C)=CCC=O,C6H10O
CC(C)=COC=C,C6H10O
CC(C)=COC=O,C5H8O2
CC(C)=CCC#C,C7H10
CC=CC=C(C)C,C7H12
CC#CC=C(C)C,C7H10
CC1CCC1(C)C,C7H14
CC1(C)CCC1O,C6H12O
CC1CCC1(C)O,C6H12O
CC1(O)CCC1O,C5H10O2
CC1OCC1(C)C,C6H12O
CC1OCC1(C)O,C5H10O2
CC1COC1(C)C,C6H12O
CC1(C)OCC1O,C5H10O2
CC1(C)CCC1=O,C6H10O
CC1(O)CCC1=O,C5H8O2
CC1(C)COC1=O,C5H8O2
CC1(O)COC1=O,C4H6O3
CC1(C)OCC1=O,C5H8O2
CCC1CC1(C)C,C7H14
CC1(C)CC1CO,C6H12O
CCC1CC1(C)O,C6H12O
CC1(O)CC1CO,C5H10O2
COC1CC1(C)C,C6H12O
COC1CC1(C)O,C5H10O2
CCC1OC1(C)C,C6H12O
CC1(C)OC1CO,C5H10O2
CC1(C)CCCC1,C7H14
CC1(O)CCCC1,C6H12O
CC1(C)CCOC1,C6H12O
CC1(O)CCOC1,C5H10O2
CC1(C)CCCO1,C6H12O
CC1(C)COCO1,C5H10O2
CC1(C)OCCO1,C5H10O2
CC1(C)CC=CC1,C7H12
CC1(O)CC=CC1,C6H10O
CC1(C)CC=CO1,C6H10O
CC1(C)OC=CO1,C5H8O2
CC1(C)CCC=C1,C7H12
